temperature,base_margin,beta,closed_set_acc,open_set_recognition_rate,overall_acc,open_set_f1
0.03,0.0,0.0,95.73,95.95,95.84,0.9584
0.03,0.0,0.1,94.38,98.52,96.45,0.9652
0.03,0.0,0.2,86.0,92.53,89.26,0.8961
0.03,0.0,0.3,87.62,95.08,91.35,0.9166
0.03,0.0,0.4,81.9,95.73,88.81,0.8957
0.03,0.0,0.5,93.83,73.78,83.8,0.8213
0.03,0.0,0.6,73.92,97.28,85.6,0.8712
0.03,0.0,0.7,86.1,61.22,73.66,0.7045
0.03,0.0,0.8,57.1,98.95,78.03,0.8185
0.03,0.0,0.9,75.22,63.7,69.46,0.6816
0.03,0.1,0.0,94.08,96.5,95.29,0.9536
0.03,0.1,0.1,94.88,98.3,96.59,0.9664
0.03,0.1,0.2,94.03,97.0,95.51,0.9558
0.03,0.1,0.3,79.8,86.92,83.36,0.8405
0.03,0.1,0.4,61.38,80.73,71.05,0.7414
0.03,0.1,0.5,76.05,97.17,86.61,0.8797
0.03,0.1,0.6,73.92,96.8,85.36,0.8686
0.03,0.1,0.7,46.65,58.83,52.74,0.5843
0.03,0.1,0.8,81.12,61.82,71.47,0.6918
0.03,0.1,0.9,68.8,70.62,69.71,0.7148
0.03,0.2,0.0,94.9,95.2,95.05,0.9506
0.03,0.2,0.1,94.9,96.62,95.76,0.958
0.03,0.2,0.2,94.0,97.72,95.86,0.9594
0.03,0.2,0.3,88.52,98.08,93.3,0.9361
0.03,0.2,0.4,80.55,92.88,86.71,0.8768
0.03,0.2,0.5,81.92,97.38,89.65,0.9041
0.03,0.2,0.6,53.4,93.8,73.6,0.7827
0.03,0.2,0.7,47.58,80.05,63.81,0.7084
0.03,0.2,0.8,56.43,92.73,74.58,0.7866
0.03,0.2,0.9,86.0,79.77,82.89,0.8254
0.03,0.3,0.0,93.9,97.35,95.62,0.957
0.03,0.3,0.1,94.08,98.05,96.06,0.9614
0.03,0.3,0.2,92.15,97.22,94.69,0.9482
0.03,0.3,0.3,88.52,96.6,92.56,0.9285
0.03,0.3,0.4,70.05,94.62,82.34,0.8461
0.03,0.3,0.5,96.75,52.62,74.69,0.6768
0.03,0.3,0.6,49.98,78.67,64.33,0.6977
0.03,0.3,0.7,54.4,89.92,72.16,0.7954
0.03,0.3,0.8,93.3,72.58,82.94,0.8115
0.03,0.3,0.9,45.55,97.25,71.4,0.7994
0.03,0.4,0.0,95.03,96.08,95.55,0.9557
0.03,0.4,0.1,93.6,97.1,95.35,0.9544
0.03,0.4,0.2,91.95,98.3,95.12,0.9529
0.03,0.4,0.3,92.4,96.97,94.69,0.9482
0.03,0.4,0.4,75.5,87.7,81.6,0.8282
0.03,0.4,0.5,91.35,76.83,84.09,0.8289
0.03,0.4,0.6,96.6,91.72,94.16,0.9402
0.03,0.4,0.7,65.9,92.3,79.1,0.817
0.03,0.4,0.8,94.05,80.95,87.5,0.8693
0.03,0.4,0.9,79.7,64.6,72.15,0.7058
0.03,0.5,0.0,95.95,95.6,95.78,0.9577
0.03,0.5,0.1,94.6,98.5,96.55,0.9662
0.03,0.5,0.2,95.23,98.75,96.99,0.9704
0.03,0.5,0.3,73.08,95.03,84.05,0.8564
0.03,0.5,0.4,71.15,92.5,81.83,0.8416
0.03,0.5,0.5,85.52,95.33,90.42,0.9089
0.03,0.5,0.6,68.55,96.3,82.42,0.846
0.03,0.5,0.7,82.03,65.62,73.83,0.7312
0.03,0.5,0.8,90.5,65.4,77.95,0.7528
0.03,0.5,0.9,92.33,80.5,86.41,0.8578
0.05,0.0,0.0,93.5,97.62,95.56,0.9566
0.05,0.0,0.1,95.28,97.3,96.29,0.9632
0.05,0.0,0.2,94.53,99.0,96.76,0.9683
0.05,0.0,0.3,93.38,99.15,96.26,0.9638
0.05,0.0,0.4,92.47,96.45,94.46,0.9457
0.05,0.0,0.5,96.73,51.18,73.95,0.6644
0.05,0.0,0.6,98.08,50.72,74.4,0.6657
0.05,0.0,0.7,86.02,63.8,74.91,0.7193
0.05,0.0,0.8,63.75,77.08,70.41,0.7247
0.05,0.0,0.9,65.3,97.9,81.6,0.8437
0.05,0.1,0.0,95.3,96.5,95.9,0.9592
0.05,0.1,0.1,95.43,98.1,96.76,0.9681
0.05,0.1,0.2,96.05,97.78,96.91,0.9694
0.05,0.1,0.3,95.45,98.95,97.2,0.9725
0.05,0.1,0.4,94.38,99.3,96.84,0.9691
0.05,0.1,0.5,98.78,43.82,71.3,0.6049
0.05,0.1,0.6,98.22,58.33,78.27,0.7292
0.05,0.1,0.7,85.45,98.05,91.75,0.9225
0.05,0.1,0.8,94.03,81.08,87.55,0.8677
0.05,0.1,0.9,95.55,78.65,87.1,0.8594
0.05,0.2,0.0,93.0,96.67,94.84,0.9493
0.05,0.2,0.1,96.5,98.25,97.38,0.974
0.05,0.2,0.2,96.47,97.92,97.2,0.9722
0.05,0.2,0.3,94.45,98.78,96.61,0.967
0.05,0.2,0.4,92.9,93.5,93.2,0.9324
0.05,0.2,0.5,92.1,85.85,88.98,0.8869
0.05,0.2,0.6,87.25,96.8,92.03,0.924
0.05,0.2,0.7,86.67,97.85,92.26,0.9267
0.05,0.2,0.8,92.07,96.15,94.11,0.9423
0.05,0.2,0.9,61.75,96.45,79.1,0.8226
0.05,0.3,0.0,93.5,97.4,95.45,0.9554
0.05,0.3,0.1,94.17,98.15,96.16,0.9624
0.05,0.3,0.2,96.35,97.47,96.91,0.9693
0.05,0.3,0.3,95.35,98.85,97.1,0.9715
0.05,0.3,0.4,94.65,97.15,95.9,0.9595
0.05,0.3,0.5,83.25,94.65,88.95,0.8956
0.05,0.3,0.6,92.35,74.45,83.4,0.821
0.05,0.3,0.7,83.88,96.7,90.29,0.9089
0.05,0.3,0.8,86.08,96.8,91.44,0.9188
0.05,0.3,0.9,98.92,71.35,85.14,0.828
0.05,0.4,0.0,94.75,95.45,95.1,0.9512
0.05,0.4,0.1,94.9,98.42,96.66,0.9672
0.05,0.4,0.2,94.27,98.12,96.2,0.9627
0.05,0.4,0.3,95.23,99.4,97.31,0.9737
0.05,0.4,0.4,94.17,98.55,96.36,0.9644
0.05,0.4,0.5,93.35,98.62,95.99,0.9609
0.05,0.4,0.6,97.6,57.38,77.49,0.7195
0.05,0.4,0.7,78.12,98.65,88.39,0.8948
0.05,0.4,0.8,72.62,99.38,86.0,0.8766
0.05,0.4,0.9,96.1,66.15,81.12,0.779
0.05,0.5,0.0,94.25,95.8,95.03,0.9506
0.05,0.5,0.1,94.92,98.38,96.65,0.9671
0.05,0.5,0.2,93.88,98.72,96.3,0.964
0.05,0.5,0.3,96.15,96.23,96.19,0.9619
0.05,0.5,0.4,96.47,93.67,95.08,0.9502
0.05,0.5,0.5,98.1,56.47,77.29,0.714
0.05,0.5,0.6,89.38,95.6,92.49,0.9274
0.05,0.5,0.7,85.55,98.47,92.01,0.9251
0.05,0.5,0.8,99.0,59.38,79.19,0.7406
0.05,0.5,0.9,78.03,97.47,87.75,0.8886
0.07,0.0,0.0,96.4,97.85,97.12,0.9715
0.07,0.0,0.1,96.73,98.15,97.44,0.9746
0.07,0.0,0.2,95.47,98.05,96.76,0.968
0.07,0.0,0.3,96.08,96.7,96.39,0.964
0.07,0.0,0.4,95.15,97.88,96.51,0.9656
0.07,0.0,0.5,94.75,97.28,96.01,0.9607
0.07,0.0,0.6,96.97,92.75,94.86,0.9478
0.07,0.0,0.7,94.95,98.05,96.5,0.9655
0.07,0.0,0.8,95.2,94.25,94.73,0.947
0.07,0.0,0.9,97.85,58.35,78.1,0.728
0.07,0.1,0.0,94.9,97.8,96.35,0.964
0.07,0.1,0.1,95.78,99.02,97.4,0.9744
0.07,0.1,0.2,96.8,98.32,97.56,0.9758
0.07,0.1,0.3,96.35,97.17,96.76,0.9678
0.07,0.1,0.4,96.15,95.95,96.05,0.9605
0.07,0.1,0.5,95.78,98.45,97.11,0.9715
0.07,0.1,0.6,93.55,98.75,96.15,0.9625
0.07,0.1,0.7,93.85,84.88,89.36,0.8886
0.07,0.1,0.8,90.88,98.08,94.47,0.9467
0.07,0.1,0.9,90.25,77.53,83.89,0.828
0.07,0.2,0.0,94.8,96.58,95.69,0.9573
0.07,0.2,0.1,95.73,97.2,96.46,0.965
0.07,0.2,0.2,96.92,98.25,97.59,0.976
0.07,0.2,0.3,96.0,97.52,96.76,0.9679
0.07,0.2,0.4,95.1,98.3,96.7,0.9675
0.07,0.2,0.5,95.23,99.25,97.24,0.9729
0.07,0.2,0.6,98.62,73.78,86.2,0.8425
0.07,0.2,0.7,93.7,98.95,96.33,0.9642
0.07,0.2,0.8,93.23,83.28,88.25,0.8768
0.07,0.2,0.9,79.22,93.47,86.35,0.8727
0.07,0.3,0.0,95.12,97.8,96.46,0.9651
0.07,0.3,0.1,97.08,97.52,97.3,0.9731
0.07,0.3,0.2,96.65,97.85,97.25,0.9727
0.07,0.3,0.3,96.33,98.98,97.65,0.9768
0.07,0.3,0.4,94.42,98.55,96.49,0.9656
0.07,0.3,0.5,98.15,69.83,83.99,0.8138
0.07,0.3,0.6,89.8,93.1,91.45,0.916
0.07,0.3,0.7,94.2,94.23,94.21,0.9423
0.07,0.3,0.8,94.33,95.65,94.99,0.9502
0.07,0.3,0.9,77.12,97.7,87.41,0.8862
0.07,0.4,0.0,94.27,98.52,96.4,0.9647
0.07,0.4,0.1,95.03,97.25,96.14,0.9618
0.07,0.4,0.2,96.75,97.9,97.32,0.9734
0.07,0.4,0.3,92.22,96.2,94.21,0.9433
0.07,0.4,0.4,94.73,96.78,95.75,0.9579
0.07,0.4,0.5,96.1,90.15,93.12,0.9293
0.07,0.4,0.6,90.55,98.75,94.65,0.9487
0.07,0.4,0.7,97.1,83.53,90.31,0.8963
0.07,0.4,0.8,99.55,57.05,78.3,0.7247
0.07,0.4,0.9,83.28,94.62,88.95,0.8961
0.07,0.5,0.0,95.88,97.85,96.86,0.9689
0.07,0.5,0.1,95.97,97.82,96.9,0.9694
0.07,0.5,0.2,95.97,98.7,97.34,0.9737
0.07,0.5,0.3,95.23,97.28,96.25,0.9629
0.07,0.5,0.4,95.78,90.0,92.89,0.9268
0.07,0.5,0.5,93.03,97.9,95.46,0.9557
0.07,0.5,0.6,92.65,97.15,94.9,0.9501
0.07,0.5,0.7,96.0,62.48,79.24,0.752
0.07,0.5,0.8,92.62,99.48,96.05,0.9618
0.07,0.5,0.9,92.45,90.3,91.38,0.9133
0.09,0.0,0.0,95.93,96.1,96.01,0.9602
0.09,0.0,0.1,96.47,97.0,96.74,0.9675
0.09,0.0,0.2,97.2,98.4,97.8,0.9781
0.09,0.0,0.3,96.78,98.55,97.66,0.9768
0.09,0.0,0.4,96.3,98.08,97.19,0.9721
0.09,0.0,0.5,97.15,90.45,93.8,0.9359
0.09,0.0,0.6,93.0,93.27,93.14,0.9316
0.09,0.0,0.7,94.2,94.38,94.29,0.943
0.09,0.0,0.8,91.8,93.45,92.62,0.927
0.09,0.0,0.9,97.5,61.22,79.36,0.7487
0.09,0.1,0.0,96.3,96.7,96.5,0.9651
0.09,0.1,0.1,96.33,97.1,96.71,0.9673
0.09,0.1,0.2,95.97,98.67,97.32,0.9737
0.09,0.1,0.3,97.25,98.47,97.86,0.9788
0.09,0.1,0.4,95.7,93.47,94.59,0.9457
0.09,0.1,0.5,96.15,98.1,97.12,0.9715
0.09,0.1,0.6,95.93,97.6,96.76,0.9679
0.09,0.1,0.7,91.8,87.75,89.78,0.896
0.09,0.1,0.8,98.9,56.8,77.85,0.7199
0.09,0.1,0.9,93.9,97.55,95.73,0.958
0.09,0.2,0.0,96.43,97.9,97.16,0.9718
0.09,0.2,0.1,95.33,97.17,96.25,0.9628
0.09,0.2,0.2,97.2,99.0,98.1,0.9812
0.09,0.2,0.3,96.4,98.75,97.58,0.976
0.09,0.2,0.4,96.65,97.9,97.28,0.9729
0.09,0.2,0.5,96.08,95.55,95.81,0.958
0.09,0.2,0.6,96.0,86.7,91.35,0.9095
0.09,0.2,0.7,95.47,97.75,96.61,0.9665
0.09,0.2,0.8,96.7,91.0,93.85,0.9369
0.09,0.2,0.9,99.0,82.95,90.97,0.902
0.09,0.3,0.0,96.45,97.92,97.19,0.9721
0.09,0.3,0.1,94.45,97.17,95.81,0.9587
0.09,0.3,0.2,97.72,98.47,98.1,0.9811
0.09,0.3,0.3,97.67,97.82,97.75,0.9775
0.09,0.3,0.4,96.47,97.78,97.12,0.9714
0.09,0.3,0.5,95.43,89.83,92.62,0.9245
0.09,0.3,0.6,92.03,96.08,94.05,0.9417
0.09,0.3,0.7,94.5,87.38,90.94,0.9066
0.09,0.3,0.8,95.4,96.6,96.0,0.9605
0.09,0.3,0.9,97.0,92.95,94.97,0.9488
0.09,0.4,0.0,96.53,98.32,97.42,0.9745
0.09,0.4,0.1,95.4,97.9,96.65,0.9669
0.09,0.4,0.2,97.3,97.2,97.25,0.9725
0.09,0.4,0.3,96.15,98.25,97.2,0.9723
0.09,0.4,0.4,97.15,98.38,97.76,0.9778
0.09,0.4,0.5,96.7,97.52,97.11,0.9712
0.09,0.4,0.6,95.67,97.62,96.65,0.9668
0.09,0.4,0.7,95.67,97.9,96.79,0.9682
0.09,0.4,0.8,89.0,92.3,90.65,0.9088
0.09,0.4,0.9,96.23,96.2,96.21,0.9621
0.09,0.5,0.0,97.95,96.43,97.19,0.9717
0.09,0.5,0.1,96.2,97.7,96.95,0.9697
0.09,0.5,0.2,97.42,98.1,97.76,0.9777
0.09,0.5,0.3,97.62,97.62,97.62,0.9762
0.09,0.5,0.4,96.1,97.78,96.94,0.9696
0.09,0.5,0.5,92.55,90.33,91.44,0.9136
0.09,0.5,0.6,95.55,84.47,90.01,0.8945
0.09,0.5,0.7,93.47,89.62,91.55,0.9142
0.09,0.5,0.8,92.42,96.85,94.64,0.9477
0.09,0.5,0.9,94.5,92.15,93.33,0.9329
