temperature,base_margin,beta,Threshold,Closed_Acc,Open_Recog,Overall_Acc,F1_open
0.09,0.1,0.2,0.99,0.953,0.531,0.742,0.673
0.09,0.1,0.4,0.99,0.853,0.6405,0.7468,0.7174
0.09,0.1,0.6,0.99,0.9673,0.6082,0.7877,0.7421
0.09,0.1,0.8,0.99,0.9133,0.616,0.7646,0.7236
0.09,0.1,1.0,0.99,0.6665,0.9537,0.8101,0.834
0.09,0.2,0.2,0.99,0.968,0.5945,0.7812,0.7315
0.09,0.2,0.4,0.99,0.9732,0.4165,0.6949,0.5775
0.09,0.2,0.6,0.99,0.976,0.406,0.691,0.5686
0.09,0.2,0.8,0.99,0.9705,0.3955,0.683,0.5553
0.09,0.2,1.0,0.99,0.9765,0.4843,0.7304,0.6433
0.09,0.3,0.2,0.99,0.9647,0.7728,0.8688,0.8554
0.09,0.3,0.4,0.99,0.955,0.3315,0.6432,0.482
0.09,0.3,0.6,0.99,0.9683,0.531,0.7496,0.6803
0.09,0.3,0.8,0.99,0.9537,0.4052,0.6795,0.5585
0.09,0.3,1.0,0.99,0.9195,0.571,0.7452,0.6916
0.09,0.4,0.2,0.99,0.9705,0.489,0.7298,0.6447
0.09,0.4,0.4,0.99,0.9663,0.5288,0.7475,0.6771
0.09,0.4,0.6,0.99,0.8343,0.7975,0.8159,0.8128
0.09,0.4,0.8,0.99,0.9607,0.3805,0.6706,0.5366
0.09,0.4,1.0,0.99,0.6973,0.974,0.8356,0.8556
0.09,0.5,0.2,0.99,0.974,0.408,0.691,0.57
0.09,0.5,0.4,0.99,0.933,0.575,0.754,0.7005
0.09,0.5,0.6,0.99,0.9708,0.5075,0.7391,0.6612
0.09,0.5,0.8,0.99,0.9643,0.6015,0.7829,0.7352
0.09,0.5,1.0,0.99,0.9643,0.302,0.6331,0.4518
0.11,0.1,0.2,0.99,0.939,0.6707,0.8049,0.7746
0.11,0.1,0.4,0.99,0.977,0.5457,0.7614,0.6959
0.11,0.1,0.6,0.99,0.8217,0.6042,0.713,0.678
0.11,0.1,0.8,0.99,0.864,0.5072,0.6856,0.6174
0.11,0.1,1.0,0.99,0.8535,0.8015,0.8275,0.8232
0.11,0.2,0.2,0.99,0.7847,0.7945,0.7896,0.7909
0.11,0.2,0.4,0.99,0.967,0.2532,0.6101,0.3942
0.11,0.2,0.6,0.99,0.9647,0.4755,0.7201,0.6298
0.11,0.2,0.8,0.99,0.9505,0.4925,0.7215,0.6388
0.11,0.2,1.0,0.99,0.947,0.7448,0.8459,0.8287
0.11,0.3,0.2,0.99,0.8413,0.6805,0.7609,0.7401
0.11,0.3,0.4,0.99,0.9403,0.6222,0.7812,0.7399
0.11,0.3,0.6,0.99,0.9673,0.2845,0.6259,0.4329
0.11,0.3,0.8,0.99,0.948,0.386,0.667,0.537
0.11,0.3,1.0,0.99,0.8888,0.587,0.7379,0.6913
0.11,0.4,0.2,0.99,0.9702,0.3275,0.6489,0.4834
0.11,0.4,0.4,0.99,0.9315,0.6305,0.781,0.7423
0.11,0.4,0.6,0.99,0.9637,0.6913,0.8275,0.8006
0.11,0.4,0.8,0.99,0.9688,0.4602,0.7145,0.6173
0.11,0.4,1.0,0.99,0.9545,0.4335,0.694,0.5864
0.11,0.5,0.2,0.99,0.8652,0.8353,0.8502,0.848
0.11,0.5,0.4,0.99,0.9495,0.9243,0.9369,0.9362
0.11,0.5,0.6,0.99,0.97,0.453,0.7115,0.6115
0.11,0.5,0.8,0.99,0.9758,0.4422,0.709,0.6038
0.11,0.5,1.0,0.99,0.7923,0.6462,0.7192,0.6971
0.13,0.1,0.2,0.99,0.9042,0.394,0.6491,0.5291
0.13,0.1,0.4,0.99,0.9573,0.614,0.7856,0.7413
0.13,0.1,0.6,0.99,0.9077,0.7843,0.846,0.8359
0.13,0.1,0.8,0.99,0.8097,0.7953,0.8025,0.8012
0.13,0.1,1.0,0.99,0.9595,0.4203,0.6899,0.5756
0.13,0.2,0.2,0.99,0.9728,0.4943,0.7335,0.6505
0.13,0.2,0.4,0.99,0.9615,0.411,0.6863,0.5674
0.13,0.2,0.6,0.99,0.9507,0.6787,0.8147,0.7856
0.13,0.2,0.8,0.99,0.9647,0.5475,0.7561,0.6919
0.13,0.2,1.0,0.99,0.944,0.2893,0.6166,0.4306
0.13,0.3,0.2,0.99,0.9762,0.3417,0.659,0.5008
0.13,0.3,0.4,0.99,0.951,0.5268,0.7389,0.6686
0.13,0.3,0.6,0.99,0.9725,0.5317,0.7521,0.6835
0.13,0.3,0.8,0.99,0.5643,0.989,0.7766,0.8158
0.13,0.3,1.0,0.99,0.926,0.5553,0.7406,0.6817
0.13,0.4,0.2,0.99,0.9782,0.5268,0.7525,0.6807
0.13,0.4,0.4,0.99,0.9215,0.574,0.7478,0.6948
0.13,0.4,0.6,0.99,0.8745,0.7278,0.8011,0.7858
0.13,0.4,0.8,0.99,0.842,0.648,0.745,0.7178
0.13,0.4,1.0,0.99,0.9475,0.4193,0.6834,0.5699
0.13,0.5,0.2,0.99,0.9655,0.9123,0.9389,0.9376
0.13,0.5,0.4,0.99,0.967,0.2935,0.6302,0.443
0.13,0.5,0.6,0.99,0.9738,0.4617,0.7177,0.6215
0.13,0.5,0.8,0.99,0.6162,0.9955,0.8059,0.8368
0.13,0.5,1.0,0.99,0.9683,0.261,0.6146,0.4041
0.15,0.1,0.2,0.99,0.9505,0.4525,0.7015,0.6026
0.15,0.1,0.4,0.99,0.961,0.7298,0.8454,0.8253
0.15,0.1,0.6,0.99,0.968,0.2672,0.6176,0.4117
0.15,0.1,0.8,0.99,0.971,0.2615,0.6162,0.406
0.15,0.1,1.0,0.99,0.9505,0.4178,0.6841,0.5696
0.15,0.2,0.2,0.99,0.9712,0.485,0.7281,0.6413
0.15,0.2,0.4,0.99,0.964,0.5465,0.7552,0.6907
0.15,0.2,0.6,0.99,0.9583,0.2233,0.5907,0.3534
0.15,0.2,0.8,0.99,0.861,0.5948,0.7279,0.6862
0.15,0.2,1.0,0.99,0.8135,0.8855,0.8495,0.8549
0.15,0.3,0.2,0.99,0.8962,0.6837,0.79,0.765
0.15,0.3,0.4,0.99,0.967,0.395,0.681,0.5538
0.15,0.3,0.6,0.99,0.8682,0.6248,0.7465,0.7121
0.15,0.3,0.8,0.99,0.74,0.798,0.769,0.7756
0.15,0.3,1.0,0.99,0.9635,0.522,0.7428,0.6703
0.15,0.4,0.2,0.99,0.7957,0.6512,0.7235,0.702
0.15,0.4,0.4,0.99,0.9653,0.3895,0.6774,0.5472
0.15,0.4,0.6,0.99,0.9688,0.353,0.6609,0.5101
0.15,0.4,0.8,0.99,0.9517,0.9233,0.9375,0.9371
0.15,0.4,1.0,0.99,0.97,0.5575,0.7638,0.7026
0.15,0.5,0.2,0.99,0.8705,0.3698,0.6201,0.4934
0.15,0.5,0.4,0.99,0.9738,0.4885,0.7311,0.6452
0.15,0.5,0.6,0.99,0.973,0.2848,0.6289,0.4348
0.15,0.5,0.8,0.99,0.9683,0.5843,0.7762,0.7233
0.15,0.5,1.0,0.99,0.9593,0.219,0.5891,0.3482
0.17,0.1,0.2,0.99,0.94,0.544,0.742,0.6784
0.17,0.1,0.4,0.99,0.9453,0.3905,0.6679,0.5411
0.17,0.1,0.6,0.99,0.954,0.48,0.717,0.6296
0.17,0.1,0.8,0.99,0.9722,0.4482,0.7103,0.6078
0.17,0.1,1.0,0.99,0.951,0.7385,0.8448,0.8264
0.17,0.2,0.2,0.99,0.9635,0.364,0.6637,0.5203
0.17,0.2,0.4,0.99,0.9633,0.356,0.6596,0.5118
0.17,0.2,0.6,0.99,0.832,0.7715,0.8017,0.7956
0.17,0.2,0.8,0.99,0.8642,0.556,0.7101,0.658
0.17,0.2,1.0,0.99,0.96,0.367,0.6635,0.5217
0.17,0.3,0.2,0.99,0.9718,0.264,0.6179,0.4088
0.17,0.3,0.4,0.99,0.8815,0.6238,0.7526,0.7163
0.17,0.3,0.6,0.99,0.9613,0.5252,0.7432,0.672
0.17,0.3,0.8,0.99,0.8465,0.7047,0.7756,0.7585
0.17,0.3,1.0,0.99,0.9663,0.3523,0.6593,0.5087
0.17,0.4,0.2,0.99,0.971,0.283,0.627,0.4316
0.17,0.4,0.4,0.99,0.8958,0.8988,0.8972,0.8976
0.17,0.4,0.6,0.99,0.9645,0.5645,0.7645,0.7057
0.17,0.4,0.8,0.99,0.712,0.9968,0.8544,0.8725
0.17,0.4,1.0,0.99,0.9337,0.4002,0.667,0.5461
0.17,0.5,0.2,0.99,0.96,0.5185,0.7392,0.6656
0.17,0.5,0.4,0.99,0.962,0.5248,0.7434,0.672
0.17,0.5,0.6,0.99,0.9812,0.4645,0.7229,0.6271
0.17,0.5,0.8,0.99,0.8618,0.5275,0.6946,0.6336
0.17,0.5,1.0,0.99,0.966,0.5625,0.7642,0.7053
